	Complex NP Constraint	zoek.pl?lemma=Complex+NP+Constraint&lemmacode=1354	SYNTAX
	Componential analysis	zoek.pl?lemma=Componential+analysis&lemmacode=896	SEMANTICS
Compositional meaning: see	Compositionality Principle	zoek.pl?lemma=Compositionality+Principle	SEMANTICS
Compositional semantics: see	Compositionality Principle	zoek.pl?lemma=Compositionality+Principle	SEMANTICS
Compositionality of translation: see	Compositionality Principle	zoek.pl?lemma=Compositionality+Principle	SEMANTICS
	Compositionality Principle	zoek.pl?lemma=Compositionality+Principle&lemmacode=898	SEMANTICS
	Compound	zoek.pl?lemma=Compound&lemmacode=899	MORPHOLOGY
	Compound Affix Ordering Generalization	zoek.pl?lemma=Compound+Affix+Ordering+Generalization&lemmacode=900	MORPHOLOGY
Compound Rule: see	Lexical transformation	zoek.pl?lemma=Lexical+transformation	MORPHOLOGY
Compounding: see	Compound	zoek.pl?lemma=Compound	MORPHOLOGY
	Concatenation	zoek.pl?lemma=Concatenation&lemmacode=1154	PHONETICS
	Conceptual Structure	zoek.pl?lemma=Conceptual+Structure&lemmacode=903	SEMANTICS
Conceptualism: see	Meaning theories	zoek.pl?lemma=Meaning+theories	SEMANTICS
Concord: see	Agreement	zoek.pl?lemma=Agreement	GENERAL
Concord: see	Agreement	zoek.pl?lemma=Agreement	SYNTAX
	Concrete noun	zoek.pl?lemma=Concrete+noun&lemmacode=906	SEMANTICS
	Condition A	zoek.pl?lemma=Condition+A&lemmacode=907	GENERAL
	Condition B	zoek.pl?lemma=Condition+B&lemmacode=908	GENERAL
	Condition C	zoek.pl?lemma=Condition+C&lemmacode=909	GENERAL
	Condition on Extraction Domain	zoek.pl?lemma=Condition+on+Extraction+Domain&lemmacode=910	GENERAL
Conditional: see	Implication	zoek.pl?lemma=Implication	SEMANTICS
	Configurational language	zoek.pl?lemma=Configurational+language&lemmacode=912	SYNTAX
	Conjugation	zoek.pl?lemma=Conjugation&lemmacode=913	MORPHOLOGY
	conjunction	zoek.pl?lemma=conjunction&lemmacode=914	SEMANTICS
	Connectedness	zoek.pl?lemma=Connectedness&lemmacode=915	SYNTAX
	Connective	zoek.pl?lemma=Connective&lemmacode=916	SEMANTICS
	Connotation	zoek.pl?lemma=Connotation&lemmacode=917	SEMANTICS
Consequent: see	Implication	zoek.pl?lemma=Implication	SEMANTICS
	Conservativity	zoek.pl?lemma=Conservativity&lemmacode=919	SEMANTICS
	Consonantal	zoek.pl?lemma=Consonantal&lemmacode=920	PHONOLOGY
Constancy: see	Extension	zoek.pl?lemma=Extension	SYNTAX
Constative: see	Performative	zoek.pl?lemma=Performative	SEMANTICS
	Constituent	zoek.pl?lemma=Constituent&lemmacode=923	SYNTAX
	Contain	zoek.pl?lemma=Contain&lemmacode=924	SYNTAX
	Context dependence	zoek.pl?lemma=Context+dependence&lemmacode=925	SEMANTICS
	Contextual neutralization	zoek.pl?lemma=Contextual+neutralization&lemmacode=926	PHONOLOGY
	Contingent truth	zoek.pl?lemma=Contingent+truth&lemmacode=927	SEMANTICS
	Continuant	zoek.pl?lemma=Continuant&lemmacode=928	PHONOLOGY/PHONETICS
	Contour tone	zoek.pl?lemma=Contour+tone&lemmacode=929	PHONOLOGY
	Contraction	zoek.pl?lemma=Contraction&lemmacode=930	SYNTAX
	Contradiction	zoek.pl?lemma=Contradiction&lemmacode=931	SEMANTICS
	Control	zoek.pl?lemma=Control&lemmacode=932	SYNTAX
	Control	zoek.pl?lemma=Control&lemmacode=932	MORPHOLOGY
	Control shift	zoek.pl?lemma=Control+shift&lemmacode=933	SYNTAX
	Control Theory	zoek.pl?lemma=Control+Theory&lemmacode=934	SYNTAX
	Converge	zoek.pl?lemma=Converge&lemmacode=935	SYNTAX
Converse antonymy: see	Antonymy	zoek.pl?lemma=Antonymy	SEMANTICS
	Conversion	zoek.pl?lemma=Conversion&lemmacode=937	MORPHOLOGY
	Cooperative Principle	zoek.pl?lemma=Cooperative+Principle&lemmacode=1803	SEMANTICS
	Coordinate Structure Constraint	zoek.pl?lemma=Coordinate+Structure+Constraint&lemmacode=938	SYNTAX
	Co-ordinative structure	zoek.pl?lemma=Co-ordinative+structure&lemmacode=1155	PHONETICS
	Core	zoek.pl?lemma=Core&lemmacode=939	PHONOLOGY
	Core	zoek.pl?lemma=Core&lemmacode=939	SYNTAX
	Coreference	zoek.pl?lemma=Coreference&lemmacode=941	SYNTAX
Coreferential: see	Coreference	zoek.pl?lemma=Coreference	SYNTAX
	Core-grammar	zoek.pl?lemma=Core-grammar&lemmacode=940	GENERAL
	Coronal	zoek.pl?lemma=Coronal&lemmacode=942	PHONOLOGY/PHONETICS
Correspondence theory: see	Meaning theories	zoek.pl?lemma=Meaning+theories	SEMANTICS
	Count noun	zoek.pl?lemma=Count+noun&lemmacode=945	SEMANTICS
Counterfactive predicate: see	Factive predicate	zoek.pl?lemma=Factive+predicate	SYNTAX/SEMANTICS
	Covert syntax	zoek.pl?lemma=Covert+syntax&lemmacode=946	SYNTAX
	CP	zoek.pl?lemma=CP&lemmacode=947	SYNTAX
	CP-reduction	zoek.pl?lemma=CP-reduction&lemmacode=948	SYNTAX
	Cranberry morpheme	zoek.pl?lemma=Cranberry+morpheme&lemmacode=949	MORPHOLOGY
	Crash	zoek.pl?lemma=Crash&lemmacode=950	SYNTAX
	Creaky voice	zoek.pl?lemma=Creaky+voice&lemmacode=1156	PHONETICS
	Crest factor	zoek.pl?lemma=Crest+factor&lemmacode=1374	PHONETICS
	Cricoid	zoek.pl?lemma=Cricoid&lemmacode=1158	PHONETICS
	Critical bandwidth	zoek.pl?lemma=Critical+bandwidth&lemmacode=1157	PHONETICS
	Cross-categorial operators	zoek.pl?lemma=Cross-categorial+operators&lemmacode=951	SYNTAX
